date,STR
2016-04-28,50.0
2016-04-29,50.5
2016-05-02,53.0
2016-05-03,58.15
2016-05-04,60.0
2016-05-05,60.44
2016-05-06,60.0
2016-05-09,58.9
2016-05-10,58.9
2016-05-11,56.51
2016-05-12,55.1
2016-05-13,57.75
2016-05-16,57.4
2016-05-17,58.0
2016-05-18,56.66
2016-05-19,55.99
2016-05-20,54.0
2016-05-23,51.03
2016-05-24,52.01
2016-05-25,52.8
2016-05-26,52.8
2016-05-27,52.5
2016-05-30,53.4
2016-05-31,51.0
2016-06-01,50.12
2016-06-02,51.49
2016-06-03,50.5
2016-06-06,50.11
2016-06-07,51.25
2016-06-08,50.15
2016-06-09,50.5
2016-06-10,50.5
2016-06-13,49.54
2016-06-14,51.1
2016-06-15,51.1
2016-06-16,52.98
2016-06-17,52.98
2016-06-20,52.98
2016-06-21,51.0
2016-06-22,50.0
2016-06-23,50.0
2016-06-24,50.0
2016-06-27,50.0
2016-06-28,49.1
2016-06-29,51.35
2016-06-30,51.35
2016-07-01,51.35
2016-07-04,49.01
2016-07-05,49.2
2016-07-11,49.41
2016-07-12,49.41
2016-07-13,51.35
2016-07-14,51.35
2016-07-15,51.35
2016-07-18,50.9
2016-07-19,49.0
2016-07-20,48.02
2016-07-21,48.02
2016-07-22,49.4
2016-07-25,48.0
2016-07-26,49.78
2016-07-27,49.7
2016-07-28,48.05
2016-07-29,49.35
2016-08-01,51.0
2016-08-02,49.96
2016-08-03,49.96
2016-08-04,49.9
2016-08-05,49.9
2016-08-08,47.6
