date,NEJ
2008-05-14,2648.333
2008-05-15,2648.333
2008-05-16,2648.333
2008-05-19,2648.333
2008-05-20,2651.667
2008-05-21,2651.667
2008-05-22,2666.667
2008-05-23,2666.667
2008-05-26,2583.333
2008-05-27,2583.333
2008-05-28,2583.333
2008-05-29,2583.333
2008-05-30,2708.333
2008-06-02,2708.333
2008-06-03,2708.333
2008-06-04,2708.333
2008-06-05,2750.0
2008-06-06,2750.0
2008-06-09,2791.667
2008-06-10,2791.667
2008-06-11,2790.833
2008-06-12,2790.833
2008-06-13,2833.333
2008-06-16,2833.333
2008-06-17,2833.333
2008-06-18,2833.333
2008-06-19,2833.333
2008-06-20,2833.333
2008-06-23,2833.333
2008-06-24,2833.333
2008-06-25,2833.333
2008-06-26,2762.5
2008-06-27,2833.333
2008-06-30,2833.333
2008-07-01,2833.333
2008-07-02,2833.333
2008-07-03,2833.333
2008-07-04,2908.333
2008-07-07,2908.333
2008-07-08,2908.333
2008-07-09,2908.333
2008-07-10,2908.333
2008-07-11,2908.333
2008-07-14,2908.333
2008-07-15,2941.667
2008-07-16,2945.833
2008-07-17,2945.833
2008-07-18,2945.833
2008-07-21,2945.833
2008-07-22,2945.833
2008-07-23,2945.833
2008-07-24,2945.833
2008-07-25,2454.167
2008-07-28,2945.0
2008-07-29,2945.0
2008-07-31,2945.0
2008-08-01,2945.0
2008-08-04,3000.0
2008-08-05,3000.0
2008-08-06,3000.0
2008-08-07,2820.0
2008-08-08,2820.0
2008-08-11,2820.0
2008-08-12,2820.0
2008-08-13,2820.0
2008-08-15,2820.0
2008-08-18,2820.0
2008-08-19,2820.0
2008-08-22,2755.0
2008-08-25,2755.0
2008-08-26,2755.0
2008-08-27,2920.0
2008-08-28,2920.0
2008-08-29,2900.0
2008-09-02,2900.0
2008-09-03,2900.0
2008-09-04,2900.0
2008-09-05,3074.0
2008-09-08,3074.0
2008-09-09,3074.0
2008-09-10,3074.0
2008-09-11,2910.0
2008-09-12,3084.0
2008-09-15,3200.0
2008-09-16,3200.0
2008-09-17,3250.0
2008-09-18,3250.0
2008-09-19,3250.0
2008-09-22,3250.0
2008-09-23,3250.0
2008-09-24,3250.0
2008-09-25,3250.0
2008-09-26,3250.0
2008-09-29,3300.0
2008-09-30,3300.0
2008-10-07,3300.0
2008-10-08,3102.0
2008-10-09,3102.0
2008-10-10,2916.0
2008-10-13,2742.0
2008-10-14,2770.0
2008-10-15,2800.0
2008-10-16,2800.0
2008-10-17,2968.0
2008-10-20,2968.0
2008-10-21,3000.0
2008-10-22,3000.0
2008-10-23,3000.0
2008-10-24,3000.0
2008-10-27,3000.0
2008-10-28,2900.0
2008-10-29,2900.0
2008-10-30,2900.0
2008-10-31,2900.0
2008-11-03,2900.0
2008-11-04,2900.0
2008-11-05,2900.0
2008-11-07,2900.0
2008-11-10,2900.0
2008-11-11,2900.0
2008-11-12,2900.0
2008-11-13,2900.0
2008-11-14,2900.0
2008-11-17,2800.0
2008-11-19,2800.0
2008-11-20,2805.0
2008-11-21,2805.0
2008-11-24,2805.0
2008-11-25,2805.0
2008-11-26,2805.0
2008-11-27,2805.0
2008-11-28,2800.0
2008-12-01,2800.0
2008-12-02,2800.0
2008-12-03,2800.0
2008-12-04,2800.0
2008-12-05,2800.0
2008-12-08,2632.0
2008-12-11,2632.0
2008-12-12,2632.0
2008-12-15,2632.0
2008-12-16,2632.0
2008-12-17,2632.0
2008-12-18,2632.0
2008-12-19,2632.0
2008-12-22,2780.0
2008-12-23,2780.0
2008-12-24,2780.0
2008-12-25,2780.0
2008-12-26,2614.0
2008-12-30,2458.0
2008-12-31,2450.0
2009-01-02,2450.0
2009-01-05,2450.0
2009-01-06,2450.0
2009-01-07,2450.0
2009-01-08,2450.0
2009-01-09,2450.0
2009-01-12,2450.0
2009-01-13,2450.0
2009-01-14,2303.0
2009-01-15,2303.0
2009-01-16,2165.0
2009-01-19,2165.0
2009-01-20,2036.0
2009-01-21,2050.0
2009-01-22,2050.0
2009-01-23,2050.0
2009-01-26,2050.0
2009-01-27,2050.0
2009-01-28,2050.0
2009-01-29,2050.0
2009-01-30,2050.0
2009-02-02,2000.0
2009-02-03,2000.0
2009-02-04,2000.0
2009-02-05,2000.0
2009-02-06,2000.0
2009-02-09,1880.0
2009-02-10,1880.0
2009-02-11,1880.0
2009-02-12,1900.0
2009-02-13,1900.0
2009-02-16,1900.0
2009-02-17,1900.0
2009-02-18,1900.0
2009-02-19,1900.0
2009-02-20,1900.0
2009-02-23,1900.0
2009-02-24,1900.0
2009-02-25,1900.0
2009-02-26,1900.0
2009-02-27,1900.0
2009-03-02,1900.0
2009-03-03,1900.0
2009-03-04,1900.0
2009-03-05,1900.0
2009-03-06,1900.0
2009-03-09,1900.0
2009-03-12,1900.0
2009-03-13,1900.0
2009-03-16,1900.0
2009-03-17,1900.0
2009-03-18,1787.0
2009-03-19,1787.0
2009-03-20,1787.0
2009-03-23,1894.0
2009-03-24,1894.0
2009-03-25,1894.0
2009-03-26,1894.0
2009-03-27,1894.0
2009-03-30,1894.0
2009-03-31,1894.0
2009-04-01,1894.0
2009-04-02,1894.0
2009-04-03,1894.0
2009-04-06,1894.0
2009-04-07,1894.0
2009-04-08,1894.0
2009-04-09,1894.0
2009-04-10,1894.0
2009-04-13,1894.0
2009-04-14,1894.0
2009-04-15,1781.0
2009-04-16,1781.0
2009-04-17,1781.0
2009-04-20,1781.0
2009-04-21,1781.0
2009-04-22,1781.0
2009-04-23,1675.0
2009-04-24,1680.0
2009-04-27,1680.0
2009-04-28,1676.0
2009-04-29,1676.0
2009-04-30,1676.0
2009-05-04,1676.0
2009-05-05,1676.0
2009-05-06,1676.0
2009-05-07,1677.0
2009-05-08,1677.0
2009-05-11,1677.0
2009-05-12,1677.0
2009-05-13,1676.0
2009-05-14,1676.0
2009-05-15,1600.0
2009-05-18,1600.0
2009-05-19,1600.0
2009-05-20,1600.0
2009-05-21,1690.0
2009-05-22,1690.0
2009-05-25,1690.0
2009-05-26,1690.0
2009-05-27,1690.0
2009-05-28,1689.0
