"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2024","12,659.81","12,625.89","12,660.87","12,602.21","","0.27%"
"02/12/2024","12,688.22","12,659.81","12,716.79","12,659.81","","0.22%"
"02/13/2024","12,698.28","12,688.22","12,744.70","12,681.85","","0.08%"
"02/14/2024","12,753.91","12,698.28","12,761.11","12,698.28","","0.44%"
"02/15/2024","12,727.64","12,753.91","12,759.78","12,704.00","","-0.21%"
"02/16/2024","12,871.28","12,727.64","12,878.36","12,688.20","","1.13%"
"02/19/2024","12,920.11","12,871.28","13,005.52","12,871.28","","0.38%"
"02/20/2024","12,885.93","12,920.11","12,936.88","12,831.34","","-0.26%"
"02/21/2024","12,961.44","12,885.93","12,997.29","12,880.34","","0.59%"
"02/22/2024","12,986.77","12,961.44","13,003.39","12,960.43","","0.20%"
"02/23/2024","13,083.17","12,986.77","13,088.90","12,986.47","","0.74%"
"02/26/2024","13,117.08","13,083.17","13,119.93","13,004.21","","0.26%"
"02/27/2024","13,098.80","13,117.08","13,125.18","13,083.28","","-0.14%"
"02/28/2024","13,134.04","13,098.80","13,147.96","13,048.93","","0.27%"
"02/29/2024","13,031.16","13,134.04","13,146.42","13,031.16","","-0.78%"
"03/01/2024","13,010.62","13,031.16","13,083.11","13,010.62","","-0.16%"
"03/04/2024","13,001.70","13,010.62","13,040.77","12,974.19","","-0.07%"
"03/05/2024","13,002.44","13,001.70","13,043.53","12,919.14","","0.01%"
"03/06/2024","12,935.98","13,002.44","13,004.40","12,913.67","","-0.51%"
"03/07/2024","12,875.49","12,935.98","12,963.46","12,874.39","","-0.47%"
"03/08/2024","12,907.46","12,875.49","12,945.48","12,856.28","","0.25%"
"03/11/2024","12,852.10","12,907.46","12,910.84","12,837.13","","-0.43%"
"03/12/2024","12,846.52","12,852.10","12,885.96","12,836.00","","-0.04%"
"03/13/2024","12,886.74","12,846.52","12,891.82","12,840.91","","0.31%"
"03/14/2024","12,968.77","12,886.74","12,968.77","12,886.74","","0.64%"
"03/15/2024","13,063.68","12,968.77","13,063.68","12,963.76","","0.73%"
"03/18/2024","13,085.63","13,063.68","13,139.28","13,032.46","","0.17%"
"03/19/2024","13,034.58","13,085.63","13,085.63","12,978.94","","-0.39%"
"03/20/2024","12,961.87","13,034.58","13,054.15","12,961.87","","-0.56%"
"03/21/2024","12,977.56","12,961.87","13,005.38","12,953.79","","0.12%"
"03/22/2024","12,979.11","12,977.56","13,000.83","12,946.71","","0.01%"
"03/25/2024","12,963.23","12,979.11","12,987.34","12,950.29","","-0.12%"
"03/26/2024","12,938.50","12,963.23","12,993.85","12,925.95","","-0.19%"
"03/27/2024","12,981.98","12,938.50","12,984.29","12,926.67","","0.34%"
"03/28/2024","12,986.94","12,981.98","13,053.74","12,969.80","","0.04%"
"03/29/2024","13,009.23","12,986.94","13,030.62","12,958.12","","0.17%"
"04/01/2024","13,007.12","13,009.23","13,058.01","12,998.94","","-0.02%"
"04/02/2024","13,053.17","12,998.18","13,053.83","12,996.01","","0.35%"
"04/03/2024","13,095.43","13,053.12","13,116.23","13,050.29","","0.32%"
"04/04/2024","13,106.43","13,095.43","13,106.43","13,017.12","","0.08%"
"04/05/2024","13,118.75","13,106.43","13,131.86","13,059.82","","0.09%"
"04/08/2024","13,219.95","13,118.75","13,220.08","13,104.01","","0.77%"
"04/09/2024","13,341.29","13,219.95","13,355.73","13,212.77","","0.92%"
"04/15/2024","13,372.71","13,341.29","13,400.28","13,304.39","","0.24%"
"04/16/2024","13,362.33","13,372.71","13,434.44","13,336.27","","-0.08%"
"04/17/2024","13,384.83","13,362.33","13,433.28","13,245.64","","0.17%"
"04/18/2024","13,455.65","13,384.83","13,455.65","13,371.77","","0.53%"
"04/19/2024","13,453.35","13,455.65","13,508.68","13,439.14","","-0.02%"
"04/22/2024","13,302.28","13,452.88","13,479.65","13,302.28","","-1.12%"
"04/23/2024","13,246.66","13,302.28","13,302.28","13,147.47","","-0.42%"
"04/24/2024","13,281.24","13,246.66","13,312.37","13,244.13","","0.26%"
"04/25/2024","13,346.81","13,281.24","13,347.19","13,280.70","","0.49%"
"04/26/2024","13,354.97","13,346.81","13,361.90","13,279.77","","0.06%"
"04/29/2024","13,373.90","13,354.97","13,422.67","13,337.33","","0.14%"
"04/30/2024","13,319.36","13,373.90","13,373.90","13,306.52","","-0.41%"
"05/02/2024","13,322.85","13,319.36","13,387.01","13,296.93","","0.03%"
"05/03/2024","13,403.47","13,322.85","13,432.00","13,322.85","","0.61%"
"05/06/2024","13,362.48","13,403.47","13,415.74","13,279.15","","-0.31%"
"05/07/2024","13,375.47","13,362.48","13,382.47","13,322.88","","0.10%"
"05/08/2024","13,418.67","13,375.47","13,429.43","13,375.47","","0.32%"
"05/09/2024","13,478.23","13,418.67","13,490.24","13,396.93","","0.44%"
"05/10/2024","13,527.01","13,478.23","13,555.54","13,476.07","","0.36%"
"05/13/2024","13,541.33","13,527.01","13,589.67","13,526.28","","0.11%"
"05/14/2024","13,501.46","13,541.33","13,572.97","13,490.42","","-0.29%"
"05/15/2024","13,421.40","13,501.46","13,521.37","13,421.40","","-0.59%"
"05/16/2024","13,411.39","13,421.40","13,455.44","13,399.26","","-0.07%"
"05/17/2024","13,426.13","13,411.39","13,427.56","13,389.76","","0.11%"
"05/20/2024","13,444.34","13,426.13","13,495.18","13,405.53","","0.14%"
"05/21/2024","13,426.85","13,444.34","13,495.27","13,406.36","","-0.13%"
"05/22/2024","13,392.04","13,426.85","13,463.31","13,380.02","","-0.26%"
"05/23/2024","13,375.53","13,391.68","13,478.67","13,373.88","","-0.12%"
"05/24/2024","13,370.70","13,375.53","13,382.64","13,314.22","","-0.04%"
"05/27/2024","13,326.59","13,369.39","13,386.26","13,318.47","","-0.33%"
"05/28/2024","13,374.25","13,326.59","13,418.73","13,323.96","","0.36%"
"05/29/2024","13,347.62","13,374.25","13,411.53","13,330.24","","-0.20%"
"05/30/2024","13,313.64","13,347.62","13,383.51","13,313.64","","-0.25%"
"05/31/2024","13,310.40","13,313.64","13,338.80","13,291.30","","-0.02%"
"06/03/2024","13,314.09","13,310.40","13,368.51","13,310.40","","0.03%"
"06/04/2024","13,238.72","13,314.09","13,345.50","13,236.05","","-0.57%"
"06/05/2024","13,053.28","13,238.72","13,247.64","13,053.28","","-1.40%"
"06/06/2024","13,243.90","13,011.49","13,245.17","13,011.49","","1.46%"
"06/07/2024","13,197.04","13,243.90","13,277.84","13,190.79","","-0.35%"
"06/10/2024","13,159.07","13,197.04","13,231.91","13,155.83","","-0.29%"
"06/11/2024","13,186.16","13,142.58","13,209.85","13,142.58","","0.21%"
"06/12/2024","13,162.89","13,186.16","13,209.32","13,154.49","","-0.18%"
"06/13/2024","13,188.79","13,162.89","13,211.97","13,158.00","","0.20%"
"06/14/2024","13,162.23","13,188.79","13,213.08","13,159.02","","-0.20%"
"06/19/2024","13,188.96","13,156.66","13,255.67","13,156.66","","0.20%"
"06/20/2024","13,138.13","13,158.40","13,195.92","13,135.12","","-0.39%"
"06/21/2024","13,140.91","13,137.22","13,188.71","13,136.65","","0.02%"
"06/24/2024","13,125.47","13,140.91","13,173.58","13,123.99","","-0.12%"
"06/25/2024","13,409.92","13,123.76","13,444.52","13,122.14","","2.17%"
"06/26/2024","13,356.07","13,408.42","13,447.20","13,344.76","","-0.40%"
"06/27/2024","13,318.19","13,350.33","13,352.67","13,285.85","","-0.28%"
"06/28/2024","13,301.37","13,318.19","13,347.41","13,289.10","","-0.13%"
"07/01/2024","13,303.38","13,301.37","13,341.43","13,284.58","","0.02%"
"07/02/2024","13,245.01","13,280.98","13,280.98","13,196.97","","-0.44%"
"07/03/2024","13,208.62","13,245.01","13,252.49","13,118.39","","-0.27%"
"07/04/2024","13,295.62","13,208.62","13,319.49","13,170.42","","0.66%"
"07/05/2024","13,367.73","13,295.62","13,368.63","13,245.39","","0.54%"
"07/08/2024","13,357.79","13,367.73","13,367.73","13,300.80","","-0.07%"
"07/09/2024","13,348.65","13,346.01","13,363.05","13,273.39","","-0.07%"
"07/10/2024","13,360.07","13,267.59","13,393.69","13,264.71","","0.09%"
"07/11/2024","13,433.97","13,330.44","13,433.97","13,296.10","","0.55%"
"07/12/2024","13,516.89","13,426.60","13,516.89","13,368.02","","0.62%"
"07/15/2024","13,433.94","13,515.20","13,521.25","13,428.75","","-0.61%"
"07/16/2024","13,456.34","13,432.16","13,483.35","13,422.03","","0.17%"
"07/17/2024","13,585.39","13,434.74","13,585.43","13,427.59","","0.96%"
"07/18/2024","13,595.96","13,574.81","13,624.07","13,539.95","","0.08%"
"07/19/2024","13,623.01","13,566.00","13,666.34","13,553.43","","0.20%"
"07/22/2024","13,609.34","13,623.01","13,652.15","13,592.95","","-0.10%"
"07/23/2024","13,602.92","13,609.34","13,648.17","13,580.23","","-0.05%"
"07/24/2024","13,641.18","13,586.82","13,705.54","13,586.82","","0.28%"
"07/25/2024","13,660.65","13,641.18","13,709.23","13,561.82","","0.14%"
"07/26/2024","13,773.16","13,660.65","13,804.64","13,660.65","","0.82%"
"07/29/2024","13,905.07","13,773.16","13,910.80","13,773.16","","0.96%"
