date,BCI
2006-01-09,640.923
2006-01-10,659.304
2006-01-13,671.291
2006-01-16,671.291
2006-01-17,667.295
2006-01-19,679.282
2006-01-20,680.082
2006-01-24,695.266
2006-01-25,695.266
2006-01-26,703.257
2006-01-27,735.223
2006-01-30,743.215
2006-02-01,787.168
2006-02-02,787.968
2006-02-03,766.39
2006-02-06,766.39
2006-02-07,780.775
2006-02-08,767.19
2006-02-09,771.985
2006-02-10,775.181
2006-02-13,783.173
2006-02-14,783.173
2006-02-15,775.181
2006-02-16,775.181
2006-02-17,775.181
2006-02-20,767.19
2006-02-21,783.173
2006-02-22,759.198
2006-02-23,763.194
2006-02-24,763.194
2006-02-27,743.215
2006-02-28,743.215
2006-03-01,744.014
2006-03-02,759.198
2006-03-03,760.796
2006-03-07,763.993
2006-03-08,759.198
2006-03-09,735.223
2006-03-10,735.223
2006-03-15,735.223
2006-03-17,769.587
2006-03-20,783.173
2006-03-21,799.156
2006-03-22,839.114
2006-03-23,847.904
2006-03-24,881.469
2006-03-27,934.213
2006-03-28,950.995
2006-03-29,969.376
2006-03-30,945.401
2006-03-31,969.376
2006-04-03,969.376
2006-04-04,958.987
2006-04-05,959.786
2006-04-06,962.983
2006-04-07,964.581
2006-04-10,972.573
2006-04-13,972.573
2006-04-14,958.188
2006-04-17,927.82
2006-04-18,887.063
2006-04-20,939.807
2006-04-21,957.389
2006-04-24,958.987
2006-04-25,954.991
2006-04-26,950.995
2006-04-27,958.987
2006-04-28,957.389
2006-05-02,935.012
2006-05-03,957.389
2006-05-04,958.987
2006-05-05,974.97
2006-05-08,1014.928
2006-05-09,1066.873
2006-05-10,1004.539
2006-05-11,998.945
2006-05-12,1014.928
2006-05-15,1018.924
2006-05-16,1014.129
2006-05-17,1006.936
2006-05-18,1006.936
2006-05-19,990.953
2006-05-22,943.004
2006-05-23,927.021
2006-05-24,935.012
2006-05-25,958.188
2006-05-26,958.188
2006-05-29,958.188
2006-05-30,950.196
2006-05-31,956.59
2006-06-01,958.188
2006-06-02,958.987
2006-06-05,927.021
2006-06-06,985.839
2006-06-08,1044.337
2006-06-09,1006.936
2006-06-12,1050.091
2006-06-13,987.757
2006-06-14,986.798
2006-06-15,961.864
2006-06-16,912.956
2006-06-19,958.028
2006-06-20,930.217
2006-06-21,948.438
2006-06-22,943.643
2006-06-23,891.858
2006-06-26,839.114
2006-06-27,843.909
2006-06-28,891.858
2006-06-29,891.858
2006-06-30,944.602
2006-07-03,949.397
2006-07-04,978.167
2006-07-05,982.962
2006-07-06,982.962
2006-07-07,978.167
2006-07-10,968.577
2006-07-11,968.577
2006-07-12,968.577
2006-07-13,968.577
2006-07-14,968.577
2006-07-17,978.167
2006-07-18,978.167
2006-07-19,969.536
2006-07-20,968.577
2006-07-21,966.659
2006-07-24,958.987
2006-07-25,958.987
2006-07-27,911.038
2006-07-31,920.628
2006-08-01,935.012
2006-08-02,958.987
2006-08-03,944.602
2006-08-04,944.602
2006-08-08,968.577
2006-08-09,958.987
2006-08-10,968.577
2006-08-15,958.987
2006-08-16,958.987
2006-08-17,958.987
2006-08-18,958.987
2006-08-22,968.577
2006-08-24,958.987
2006-08-25,987.757
2006-08-28,995.429
2006-08-29,968.577
2006-08-30,987.757
2006-08-31,987.757
2006-09-01,987.757
2006-09-04,987.757
2006-09-05,987.757
2006-09-06,995.429
2006-09-07,995.429
2006-09-08,995.429
2006-09-11,995.429
2006-09-12,973.372
2006-09-13,982.962
