date,NKL
2014-08-01,42.3
2014-08-04,42.65
2014-08-05,42.65
2014-08-06,42.65
2014-08-07,42.65
2014-08-08,42.65
2014-08-11,42.65
2014-08-12,42.65
2014-08-13,42.65
2014-08-15,42.65
2014-08-18,42.8
2014-08-19,43.5
2014-08-22,42.0
2014-08-25,42.5
2014-08-26,42.75
2014-08-27,42.75
2014-08-28,42.88
2014-08-29,42.88
2014-09-01,45.45
2014-09-02,43.9
2014-09-03,44.03
2014-09-04,45.87
2014-09-05,45.4
2014-09-08,44.35
2014-09-09,45.3
2014-09-10,44.95
2014-09-11,44.25
2014-09-12,44.8
2014-09-15,44.8
2014-09-16,44.0
2014-09-17,43.82
2014-09-18,44.0
2014-09-19,44.79
2014-09-22,44.79
2014-09-23,44.75
2014-09-24,44.0
2014-09-25,44.0
2014-09-26,44.55
2014-09-29,44.55
2014-09-30,44.0
2014-10-01,44.0
2014-10-02,44.0
2014-10-03,44.1
2014-10-07,44.61
2014-10-08,44.35
2014-10-09,44.36
2014-10-10,45.0
2014-10-13,46.0
2014-10-14,46.0
2014-10-15,46.1
2014-10-16,46.0
2014-10-17,46.3
2014-10-20,45.0
2014-10-21,45.5
2014-10-22,44.36
2014-10-23,44.8
2014-10-24,44.8
2014-10-27,44.9
2014-10-28,43.91
2014-10-29,45.0
2014-10-30,44.13
2014-10-31,44.16
2014-11-03,44.17
2014-11-04,44.0
2014-11-05,43.75
2014-11-07,43.76
2014-11-10,42.42
2014-11-11,43.98
2014-11-12,44.0
2014-11-13,42.91
2014-11-14,43.98
2014-11-17,43.5
2014-11-19,43.5
2014-11-20,43.01
2014-11-21,43.49
2014-11-24,42.15
2014-11-25,43.5
2014-11-26,43.5
2014-11-27,42.2
2014-11-28,42.2
2014-12-01,41.02
2014-12-02,41.05
2014-12-03,43.51
2014-12-04,41.3
2014-12-05,41.25
2014-12-08,41.0
2014-12-09,41.5
2014-12-10,42.99
2014-12-11,42.32
2014-12-12,42.2
2014-12-15,40.23
2014-12-16,41.95
2014-12-17,40.6
2014-12-18,41.99
2014-12-19,40.6
2014-12-22,40.0
2014-12-23,39.72
2014-12-24,38.22
2014-12-25,40.3
2014-12-26,41.0
2014-12-29,41.38
2014-12-30,41.4
2014-12-31,40.9
2015-01-02,40.0
2015-01-06,40.5
2015-01-07,40.0
2015-01-08,39.5
2015-01-09,41.32
2015-01-12,41.32
2015-01-13,40.0
2015-01-14,40.98
2015-01-15,39.51
2015-01-16,40.8
2015-01-19,41.2
2015-01-20,40.5
2015-01-21,41.5
2015-01-22,40.32
2015-01-23,42.2
2015-01-26,41.9
2015-01-27,40.1
2015-01-28,40.96
2015-01-29,39.8
2015-01-30,40.0
2015-02-02,39.6
2015-02-03,40.0
2015-02-04,40.0
2015-02-05,40.0
2015-02-06,39.6
2015-02-09,40.0
2015-02-10,40.04
2015-02-11,40.06
2015-02-12,40.02
2015-02-13,40.04
2015-02-16,40.0
2015-02-17,40.04
2015-02-18,40.0
2015-02-19,40.0
2015-02-20,41.99
2015-02-23,40.14
2015-02-24,41.0
2015-02-25,42.0
2015-02-26,43.0
2015-02-27,43.0
2015-03-02,43.0
2015-03-03,43.0
2015-03-04,43.0
2015-03-05,43.0
2015-03-06,43.35
2015-03-09,43.35
2015-03-10,43.0
2015-03-11,43.0
2015-03-12,42.9
2015-03-13,42.2
2015-03-16,42.9
2015-03-17,42.2
2015-03-18,42.86
2015-03-19,42.48
2015-03-20,41.0
2015-03-23,40.2
2015-03-24,40.22
2015-03-25,42.0
2015-03-26,40.3
2015-03-27,40.85
2015-03-30,42.25
2015-03-31,42.28
2015-04-01,40.4
2015-04-02,40.2
2015-04-03,39.98
2015-04-06,39.98
2015-04-07,39.98
2015-04-08,40.7
2015-04-09,41.85
2015-04-10,39.7
2015-04-13,39.7
2015-04-14,39.7
2015-04-15,40.5
2015-04-16,38.8
2015-04-17,39.0
2015-04-20,40.85
2015-04-21,39.0
2015-04-22,41.34
2015-04-23,40.0
2015-04-24,40.0
2015-04-27,40.0
2015-04-28,40.5
2015-04-29,40.5
2015-04-30,40.4
2015-05-04,41.0
2015-05-05,41.5
2015-05-06,42.0
2015-05-07,42.98
2015-05-08,40.41
2015-05-11,40.41
2015-05-12,40.41
2015-05-13,42.0
2015-05-14,40.9
2015-05-15,40.9
2015-05-18,42.25
2015-05-19,42.25
2015-05-20,41.99
2015-05-21,39.48
2015-05-22,40.5
2015-05-25,40.0
2015-05-26,40.0
2015-05-27,40.99
2015-05-28,38.7
2015-05-29,40.99
2015-06-01,39.0
2015-06-02,39.0
2015-06-03,40.4
2015-06-04,40.0
2015-06-05,39.01
2015-06-08,39.01
2015-06-09,40.98
2015-06-10,40.98
2015-06-11,40.98
2015-06-12,40.0
2015-06-15,40.0
2015-06-16,40.0
2015-06-17,39.14
2015-06-18,40.9
2015-06-19,40.9
2015-06-22,39.13
2015-06-23,36.66
2015-06-24,38.84
2015-06-25,40.28
2015-06-26,41.97
2015-06-29,40.0
2015-06-30,40.78
2015-07-01,40.78
2015-07-02,40.78
2015-07-03,40.78
2015-07-06,40.78
2015-07-07,38.5
2015-07-08,38.75
2015-07-09,40.08
2015-07-10,38.75
2015-07-13,38.75
2015-07-14,38.6
2015-07-15,40.32
2015-07-16,40.3
2015-07-20,40.29
2015-07-21,40.2
2015-07-22,40.2
2015-07-23,40.0
2015-07-24,39.01
2015-07-27,40.3
2015-07-28,40.0
2015-07-29,40.3
2015-07-31,40.3
2015-08-03,40.3
2015-08-04,40.2
2015-08-05,39.2
2015-08-06,39.2
2015-08-07,39.2
2015-08-10,39.2
2015-08-11,40.5
2015-08-12,39.05
