date,AFM
2019-05-27,920.0
2019-05-28,965.0
2019-05-29,975.0
2019-05-30,980.0
2019-05-31,981.0
2019-06-03,985.0
2019-06-04,985.0
2019-06-10,985.0
2019-06-11,985.0
2019-06-12,985.0
2019-06-13,985.0
2019-06-14,970.0
2019-06-17,970.0
2019-06-18,970.0
2019-06-19,989.0
2019-06-20,1000.0
2019-06-21,1000.0
2019-06-24,1000.0
2019-06-25,999.0
2019-06-26,1000.0
2019-06-27,995.0
2019-06-28,981.0
2019-07-01,971.1
2019-07-02,915.5
2019-07-03,916.5
2019-07-04,918.0
2019-07-05,918.0
2019-07-08,919.0
2019-07-09,920.0
2019-07-10,925.0
2019-07-11,900.0
2019-07-12,910.5
2019-07-15,913.0
2019-07-16,918.0
2019-07-17,936.0
2019-07-18,925.0
2019-07-19,930.0
2019-07-22,933.5
2019-07-23,938.5
2019-07-24,944.0
2019-07-25,950.0
2019-07-26,955.0
2019-07-29,961.0
2019-07-31,946.0
2019-08-01,970.0
2019-08-02,970.0
2019-08-05,969.0
2019-08-06,970.0
2019-08-07,969.0
2019-08-08,969.0
2019-08-09,969.0
2019-08-15,969.0
2019-08-16,969.0
2019-08-19,975.0
2019-08-22,975.0
2019-08-23,975.0
2019-08-26,975.0
2019-08-27,978.0
2019-08-28,978.0
2019-08-29,978.0
2019-08-30,978.0
2019-09-02,980.0
2019-09-03,980.0
2019-09-04,979.0
2019-09-05,979.0
2019-09-06,961.0
2019-09-09,970.0
2019-09-10,961.0
2019-09-11,970.0
2019-09-12,974.0
2019-09-13,974.0
2019-09-16,974.0
2019-09-17,974.0
2019-09-18,974.0
2019-09-19,974.0
2019-09-20,955.0
2019-09-23,963.0
2019-09-24,963.0
2019-09-25,963.0
2019-09-26,969.0
2019-09-27,980.0
2019-09-30,970.0
2019-10-01,980.0
2019-10-02,980.0
2019-10-03,980.0
2019-10-04,1020.0
2019-10-07,995.0
2019-10-08,994.5
2019-10-09,994.5
2019-10-10,1000.0
2019-10-11,1000.0
2019-10-14,1000.0
2019-10-15,1000.0
2019-10-16,1000.0
2019-10-17,1000.0
2019-10-18,1000.0
2019-10-21,962.0
2019-10-22,1000.0
2019-10-23,1002.0
2019-10-24,1002.0
2019-10-25,1000.0
2019-10-28,1000.0
2019-10-29,1000.0
2019-10-30,1000.0
2019-10-31,1000.0
2019-11-01,1020.0
2019-11-04,1020.0
2019-11-05,995.0
2019-11-07,1005.0
2019-11-08,1000.0
2019-11-12,1005.0
