date,CMA
2004-09-22,775.0
2004-09-23,770.0
2004-09-24,735.0
2004-09-27,732.5
2004-09-28,726.5
2004-09-29,729.0
2004-09-30,730.5
2004-10-01,731.0
2004-10-05,735.0
2004-10-06,737.5
2004-10-07,740.0
2004-10-08,742.5
2004-10-12,742.0
2004-10-13,735.0
2004-10-14,695.0
2004-10-15,667.5
2004-10-18,650.5
2004-10-19,650.5
2004-10-20,650.0
2004-10-25,611.0
2004-10-26,611.0
2004-10-27,611.5
2004-10-28,607.5
2004-10-29,575.5
2004-11-02,607.5
2004-11-03,601.5
2004-11-04,590.0
2004-11-05,590.0
2004-11-09,589.5
2004-11-10,589.5
2004-11-11,590.0
2004-11-12,590.0
2004-11-16,590.0
2004-11-17,590.0
2004-11-19,575.0
2004-11-22,540.5
2004-11-23,525.0
2004-11-24,525.0
2004-11-26,540.0
2004-11-29,542.5
2004-12-01,530.0
2004-12-02,531.5
2004-12-03,532.0
2004-12-06,532.5
2004-12-07,535.0
2004-12-08,555.0
2004-12-14,620.0
2004-12-16,585.0
2004-12-17,620.0
2004-12-20,624.5
2004-12-21,620.0
2004-12-22,620.0
2004-12-23,619.5
2004-12-24,620.0
2004-12-28,602.5
2004-12-29,602.5
2004-12-30,618.0
2004-12-31,613.5
2005-01-05,613.5
2005-01-10,613.5
2005-01-12,613.0
2005-01-13,613.5
2005-01-14,611.0
2005-01-17,610.5
2005-01-18,610.5
2005-01-19,610.0
2005-01-20,610.0
2005-01-25,614.5
2005-01-26,612.5
2005-01-27,610.0
2005-01-28,612.5
2005-02-01,612.5
2005-02-02,612.5
2005-02-03,612.5
2005-02-04,612.5
2005-02-07,612.5
2005-02-08,612.5
2005-02-11,612.5
2005-02-14,612.5
2005-02-15,632.5
2005-02-16,612.5
2005-02-17,612.5
2005-02-23,580.0
2005-02-24,575.0
2005-02-25,580.0
2005-02-28,556.0
2005-03-01,560.0
2005-03-02,560.0
2005-03-03,562.5
2005-03-04,560.0
2005-03-09,555.0
2005-03-10,550.0
2005-03-11,555.0
2005-03-14,550.0
2005-03-17,550.0
2005-03-18,550.0
2005-03-21,575.0
2005-03-23,575.0
2005-03-24,575.0
2005-03-25,575.0
2005-03-29,557.5
2005-03-31,550.0
2005-04-01,550.0
2005-04-04,550.0
2005-04-05,550.0
2005-04-08,545.5
2005-04-11,550.0
2005-04-18,560.0
2005-04-19,560.0
2005-04-26,560.0
2005-04-27,562.5
2005-04-28,570.0
2005-04-29,575.5
