date,TQM
2018-09-13,820.0
2018-09-14,815.0
2018-09-17,815.0
2018-09-18,835.0
2018-09-19,830.0
2018-09-20,844.9
2018-09-21,858.0
2018-09-24,858.0
2018-09-25,871.0
2018-09-26,870.0
2018-09-27,896.0
2018-09-28,890.0
2018-10-01,867.0
2018-10-02,860.0
2018-10-03,862.0
2018-10-04,863.5
2018-10-05,860.2
2018-10-08,860.4
2018-10-09,860.0
2018-10-10,852.0
2018-10-11,852.0
2018-10-12,845.0
2018-10-15,840.0
2018-10-16,840.0
2018-10-17,837.0
2018-10-18,860.0
2018-10-19,880.0
2018-10-22,895.0
2018-10-23,895.0
2018-10-24,863.0
2018-10-25,859.0
2018-10-26,859.0
2018-10-29,850.0
2018-10-30,842.0
2018-10-31,842.0
2018-11-01,844.0
2018-11-02,855.0
2018-11-05,855.0
2018-11-07,855.0
2018-11-08,880.0
2018-11-09,885.0
2018-11-12,851.0
2018-11-13,889.9
2018-11-14,892.0
2018-11-15,895.0
2018-11-16,895.0
2018-11-19,868.0
2018-11-22,869.0
2018-11-23,860.0
2018-11-26,850.0
2018-11-27,860.0
2018-11-28,848.0
2018-11-29,852.2
2018-11-30,875.0
2018-12-03,875.0
2018-12-04,887.0
2018-12-05,880.0
2018-12-06,885.0
2018-12-07,865.0
2018-12-10,860.0
2018-12-11,875.0
2018-12-12,866.0
2018-12-13,878.0
2018-12-14,880.0
2018-12-17,880.0
2018-12-18,890.0
2018-12-19,881.5
2018-12-20,883.0
2018-12-21,890.0
2018-12-24,879.0
2018-12-25,883.0
2018-12-26,880.0
2018-12-27,845.0
2018-12-28,890.0
2018-12-31,890.0
2019-01-02,874.1
2019-01-03,880.0
2019-01-04,890.0
2019-01-07,870.0
2019-01-08,870.0
2019-01-09,870.5
2019-01-10,870.0
2019-01-14,870.0
2019-01-15,870.0
2019-01-16,870.0
2019-01-17,870.0
2019-01-18,870.2
2019-01-21,900.0
2019-01-22,900.0
2019-01-23,892.0
2019-01-24,920.0
2019-01-25,931.0
