date,ALM
2003-05-06,450.0
2003-05-07,458.0
2003-05-08,462.0
2003-05-09,468.05
2003-05-12,495.0
2003-05-20,485.0
2003-05-21,499.0
2003-05-22,520.0
2003-05-26,514.0
2003-05-28,512.0
2003-05-29,512.0
2003-05-30,518.0
2003-06-04,515.0
2003-06-05,517.0
2003-06-06,531.0
2003-06-10,525.0
2003-06-12,528.0
2003-06-16,545.0
2003-06-17,545.0
2003-06-18,534.0
2003-06-20,528.0
2003-06-23,501.0
2003-06-25,503.0
2003-06-26,510.0
2003-06-27,511.0
2003-06-30,513.0
2003-07-01,510.0
2003-07-02,511.0
2003-07-04,516.0
2003-07-10,520.0
2003-07-11,520.0
2003-07-14,540.0
2003-07-15,540.0
2003-07-18,513.0
2003-07-24,525.0
2003-07-25,533.0
2003-07-28,534.0
2003-07-29,534.0
2003-08-04,527.0
2003-08-07,517.0
2003-08-11,521.0
2003-08-13,534.0
2003-08-15,520.0
2003-08-18,525.0
2003-08-28,566.0
2003-08-29,575.0
2003-09-01,575.0
2003-09-02,600.0
2003-09-03,619.0
2003-09-04,630.0
2003-09-05,628.0
2003-09-08,620.0
2003-09-09,620.0
2003-09-10,609.0
2003-09-11,608.0
2003-09-12,611.0
2003-09-18,616.0
2003-09-23,608.0
2003-09-24,629.0
2003-09-26,629.0
2003-09-29,609.0
2003-09-30,610.0
2003-10-01,625.0
2003-10-02,620.0
2003-10-03,609.0
2003-10-07,618.0
2003-10-08,622.0
2003-10-13,610.0
2003-10-14,602.0
2003-10-20,599.0
2003-10-22,594.0
2003-10-24,595.0
2003-10-29,595.0
2003-10-30,610.0
2003-11-03,620.0
2003-11-04,627.0
2003-11-07,620.0
2003-11-11,605.0
2003-11-13,612.0
2003-11-14,612.0
2003-11-17,612.0
2003-11-19,610.0
2003-11-20,620.0
2003-11-21,620.0
2003-12-02,625.0
2003-12-04,620.0
2003-12-08,620.0
2003-12-11,620.0
2003-12-12,620.0
2003-12-17,620.0
2003-12-18,611.0
2003-12-19,620.0
2003-12-22,620.0
2003-12-29,620.0
2003-12-31,613.0
2004-01-02,612.0
2004-01-06,615.0
2004-01-07,615.0
2004-01-12,616.0
2004-01-13,630.0
2004-01-14,631.0
2004-01-15,636.0
2004-01-16,650.0
2004-01-19,650.0
2004-01-23,660.0
2004-01-26,674.0
2004-01-27,674.0
2004-01-28,681.0
2004-01-29,700.0
2004-01-30,710.0
2004-02-03,730.0
2004-02-04,748.0
2004-02-05,750.0
2004-02-06,775.0
2004-02-09,775.0
2004-02-10,755.0
2004-02-11,770.0
2004-02-12,775.0
2004-02-13,732.0
2004-02-16,732.0
2004-02-17,740.0
2004-02-18,740.0
2004-02-19,745.0
2004-02-23,748.0
2004-02-26,790.0
2004-02-27,818.0
2004-03-01,820.0
2004-03-02,835.0
2004-03-03,840.0
2004-03-04,849.0
2004-03-05,864.0
2004-03-08,864.0
2004-03-09,865.0
2004-03-10,870.0
2004-03-11,870.0
2004-03-12,865.0
2004-03-15,864.0
2004-03-16,869.0
2004-03-18,840.0
2004-03-19,859.0
2004-03-22,859.0
2004-03-23,859.0
2004-03-24,840.0
2004-03-26,830.0
2004-04-01,834.0
2004-04-05,836.0
2004-04-06,837.0
2004-04-08,860.0
2004-04-09,860.0
2004-04-13,870.0
2004-04-14,875.0
2004-04-16,880.0
2004-04-19,885.0
2004-04-21,886.0
2004-04-22,900.0
2004-04-23,900.0
2004-04-26,900.0
2004-04-27,898.0
2004-04-28,910.0
2004-04-29,916.0
2004-04-30,949.0
2004-05-04,922.0
2004-05-05,925.0
2004-05-06,928.0
2004-05-07,928.0
2004-05-10,929.0
2004-05-11,931.0
2004-05-12,935.0
2004-05-13,915.0
2004-05-14,921.0
2004-05-17,885.0
2004-05-18,849.0
2004-05-19,855.0
2004-05-20,894.0
2004-05-21,900.0
2004-05-27,912.0
2004-05-31,910.0
2004-06-02,912.0
2004-06-03,870.0
2004-06-07,864.0
2004-06-08,851.0
2004-06-09,852.0
2004-06-10,853.0
2004-06-11,859.0
2004-06-14,855.0
2004-06-15,855.0
2004-06-16,855.0
2004-06-17,860.0
2004-06-18,865.0
2004-06-22,852.0
2004-06-23,852.0
2004-06-28,852.0
2004-06-30,852.0
2004-07-01,853.0
2004-07-02,852.0
2004-07-05,852.0
2004-07-06,852.0
2004-07-09,852.0
2004-07-14,850.0
2004-07-15,850.0
2004-07-22,860.0
2004-07-23,879.0
2004-07-26,879.0
2004-07-27,880.0
2004-07-28,880.0
2004-08-03,895.0
2004-08-04,890.0
2004-08-05,880.0
2004-08-09,881.0
2004-08-10,880.0
2004-08-11,881.0
2004-08-13,884.0
2004-08-16,885.0
2004-08-17,884.0
2004-08-27,886.0
2004-09-01,895.0
2004-09-02,895.0
2004-09-06,900.0
2004-09-08,918.0
2004-09-09,920.0
2004-09-10,920.0
2004-09-13,920.0
2004-09-14,935.0
2004-09-16,935.0
2004-09-22,939.0
2004-09-23,910.0
2004-09-27,890.0
2004-09-28,837.0
2004-09-29,791.0
2004-10-05,800.0
2004-10-07,820.0
2004-10-14,801.0
2004-10-19,801.0
2004-10-22,780.0
2004-10-26,780.0
2004-10-28,734.0
2004-11-02,824.0
2004-11-03,870.0
2004-11-10,778.0
2004-11-12,778.0
2004-11-17,798.0
2004-11-19,790.0
2004-11-22,760.0
2004-11-23,765.0
2004-11-29,750.0
2004-11-30,750.0
2004-12-03,750.0
2004-12-06,769.0
2004-12-07,769.0
2004-12-08,800.0
2004-12-10,801.0
2004-12-13,832.0
2004-12-14,835.0
2004-12-15,820.0
2004-12-16,812.0
2004-12-17,805.0
2004-12-20,805.0
2004-12-21,805.0
2004-12-22,809.0
2004-12-23,824.0
2004-12-24,805.0
2004-12-29,805.0
2004-12-31,805.0
2005-01-05,834.0
2005-01-18,828.0
2005-01-20,810.0
2005-01-24,805.0
2005-01-26,825.0
2005-01-27,836.0
2005-01-31,836.0
2005-02-02,837.0
2005-02-07,860.0
2005-02-08,870.0
2005-02-11,895.0
2005-02-14,898.0
2005-02-17,895.0
2005-02-18,905.0
2005-02-22,909.0
2005-02-24,876.0
2005-02-25,892.0
2005-02-28,885.0
2005-03-01,880.0
2005-03-02,880.0
2005-03-03,861.0
2005-03-04,890.0
2005-03-07,890.0
2005-03-08,890.0
2005-03-09,890.0
2005-03-10,892.0
2005-03-11,890.0
2005-03-16,889.0
2005-03-17,889.0
2005-03-18,934.0
2005-03-21,935.0
2005-03-22,935.0
2005-03-23,930.0
2005-03-24,930.0
2005-03-28,907.0
2005-03-29,919.0
2005-03-30,910.0
2005-03-31,912.0
2005-04-04,900.0
2005-04-05,900.0
2005-04-11,890.0
2005-04-18,888.0
2005-05-02,890.0
2005-05-05,900.0
2005-05-10,900.0
2005-05-18,900.0
2005-05-20,890.0
2005-05-23,900.0
2005-05-24,900.0
2005-05-26,901.0
2005-05-27,902.0
2005-05-31,910.0
2005-06-01,905.0
2005-06-02,906.0
2005-06-03,902.0
2005-06-06,910.0
2005-06-13,902.0
2005-06-15,900.0
2005-06-17,905.0
2005-06-27,912.0
2005-06-28,919.0
2005-06-29,910.0
2005-06-30,912.0
2005-07-01,915.0
2005-07-06,861.0
2005-07-07,875.0
2005-07-18,875.0
2005-07-20,900.0
2005-07-21,902.0
2005-07-22,912.0
2005-07-25,910.0
2005-07-26,902.0
2005-07-27,910.0
2005-07-28,911.0
2005-07-29,915.0
