date,DYT
2025-02-18,295.0
2025-02-19,292.5
2025-02-20,300.0
2025-02-21,290.05
2025-02-24,290.1
2025-02-25,291.05
2025-02-26,298.85
2025-02-27,290.2
2025-02-28,297.75
2025-03-03,292.0
2025-03-04,295.0
2025-03-05,300.0
2025-03-06,298.5
2025-03-07,298.0
2025-03-10,300.0
2025-03-11,295.35
2025-03-12,299.15
2025-03-13,299.45
2025-03-14,300.0
2025-03-17,299.0
2025-03-18,300.0
2025-03-19,301.0
2025-03-20,307.8
2025-03-21,327.8
2025-03-24,346.0
2025-03-25,331.0
2025-03-26,323.1
2025-03-27,310.0
2025-03-28,317.9
2025-04-02,317.0
2025-04-03,305.1
2025-04-04,309.0
2025-04-07,278.15
2025-04-08,299.9
2025-04-09,290.0
2025-04-10,311.0
2025-04-11,309.0
2025-04-14,311.9
2025-04-15,319.0
2025-04-16,315.1
2025-04-17,328.2
2025-04-18,339.0
2025-04-21,332.05
2025-04-22,331.1
2025-04-23,336.0
2025-04-24,337.0
2025-04-25,330.0
2025-04-28,333.95
2025-04-29,329.0
2025-04-30,331.0
2025-05-02,333.5
2025-05-05,335.0
2025-05-06,335.0
2025-05-07,332.0
2025-05-08,330.0
2025-05-09,330.0
