date,EQD
2004-08-18,1120.0
2004-08-19,1122.0
2004-08-25,1122.0
2004-09-03,1135.0
2004-09-08,1202.0
2004-09-09,1212.0
2004-09-10,1220.0
2004-09-14,1236.0
2004-09-15,1222.0
2004-09-16,1226.0
2004-09-21,1200.0
2004-09-24,1140.0
2004-09-29,1170.0
2004-09-30,1200.0
2004-10-05,1150.0
2004-10-06,1150.0
2004-10-07,1190.0
2004-10-08,1190.0
2004-10-13,1140.0
2004-10-14,1095.0
2004-10-20,1090.0
2004-10-26,1034.0
2004-10-27,975.0
2004-10-28,1030.0
2004-10-29,970.0
2004-11-02,955.0
2004-11-03,920.0
2004-11-04,920.0
2004-11-05,917.0
2004-11-10,917.0
2004-11-16,926.0
2004-11-17,944.0
2004-11-19,944.0
2004-11-22,900.0
2004-11-23,901.0
2004-11-24,925.0
2004-11-29,925.0
2004-11-30,925.0
2004-12-01,917.0
2004-12-03,920.0
2004-12-07,916.0
2004-12-09,1000.0
2004-12-10,1005.0
2004-12-13,1030.0
2004-12-14,1024.0
2004-12-17,1018.0
2004-12-21,1000.0
2004-12-22,1000.0
2004-12-24,1010.0
2004-12-29,1070.0
2004-12-30,1045.0
2004-12-31,1100.0
2005-01-13,1036.0
2005-01-17,1039.0
2005-01-18,1046.0
2005-01-20,1050.0
2005-01-27,1050.0
2005-02-04,1100.0
2005-02-07,1100.0
2005-02-08,1150.0
2005-02-09,1150.0
2005-02-15,1185.0
2005-02-17,1195.0
2005-02-21,1195.0
2005-02-28,1135.0
2005-03-01,1071.0
2005-03-03,1095.0
2005-03-04,1095.0
2005-03-07,1051.0
2005-03-08,1095.0
2005-03-09,1063.0
2005-03-10,1065.0
2005-03-11,1075.0
2005-03-14,1090.0
2005-03-16,1110.0
2005-03-17,1125.0
2005-03-18,1179.0
2005-03-22,1155.0
2005-03-23,1160.0
2005-03-30,1095.0
2005-03-31,1091.0
2005-04-04,1091.0
2005-04-06,1091.0
2005-04-11,1100.0
2005-04-14,1100.0
2005-04-19,1100.0
2005-04-20,1100.0
2005-04-26,1101.0
2005-04-29,1101.0
2005-05-04,1154.0
2005-05-05,1176.0
2005-05-10,1180.0
2005-05-12,1192.0
2005-05-13,1192.0
2005-05-16,1192.0
2005-05-17,1195.0
2005-05-18,1196.0
2005-05-19,1201.0
2005-05-20,1201.0
2005-05-23,1201.0
2005-05-24,1201.0
2005-05-25,1220.0
2005-05-26,1221.0
2005-05-27,1221.0
2005-05-30,1260.0
2005-05-31,1265.0
2005-06-02,1218.0
2005-06-03,1218.0
2005-06-07,1213.0
2005-06-08,1190.0
2005-06-09,1190.0
2005-06-10,1200.0
2005-06-14,1200.0
2005-06-15,1200.0
2005-06-16,1210.0
2005-06-17,1210.0
2005-06-20,1200.0
2005-06-21,1200.0
2005-06-22,1201.0
2005-06-23,1202.0
2005-06-28,1229.0
2005-06-29,1200.0
2005-06-30,1202.0
2005-07-04,1240.0
2005-07-05,1250.0
2005-07-06,1250.0
2005-07-07,1240.0
2005-07-08,1245.0
2005-07-13,1246.0
2005-07-14,1260.0
2005-07-19,1265.0
2005-07-22,1250.0
2005-07-25,1250.0
2005-07-26,1250.0
2005-07-27,1200.0
2005-07-28,1200.0
2005-08-02,1236.0
2005-08-04,1274.0
2005-08-08,1274.0
2005-08-09,1274.0
2005-08-12,1274.0
2005-08-15,1274.0
2005-08-17,1350.0
2005-08-18,1352.0
2005-08-19,1353.0
2005-08-22,1280.0
2005-08-23,1353.0
2005-08-24,1355.0
2005-08-25,1281.0
2005-08-26,1281.0
2005-08-30,1280.0
2005-08-31,1340.0
2005-09-01,1338.0
2005-09-02,1355.0
2005-09-05,1379.0
2005-09-06,1300.0
2005-09-07,1300.0
2005-09-08,1260.0
2005-09-09,1279.0
2005-09-14,1300.0
2005-09-15,1300.0
2005-09-16,1280.0
2005-09-19,1251.0
2005-09-20,1254.0
2005-09-21,1255.0
2005-09-22,1250.0
2005-09-23,1230.0
2005-09-30,1250.0
2005-10-03,1250.0
2005-10-04,1250.0
2005-10-05,1250.0
2005-10-07,1256.0
2005-10-10,1252.0
2005-10-12,1275.0
2005-10-13,1275.0
2005-10-14,1281.0
2005-10-17,1295.0
2005-10-19,1280.0
2005-10-20,1275.0
2005-10-21,1253.0
2005-10-24,1260.0
2005-10-25,1257.0
2005-10-28,1280.0
2005-11-01,1300.0
2005-11-02,1300.0
2005-11-07,1300.0
2005-11-08,1302.0
2005-11-09,1300.0
2005-11-10,1300.0
2005-11-14,1301.0
2005-11-15,1307.0
2005-11-23,1305.0
2005-11-24,1300.0
2005-11-25,1330.0
2005-11-28,1350.0
2005-11-29,1385.0
2005-11-30,1390.0
2005-12-01,1385.0
2005-12-02,1375.0
2005-12-05,1390.0
2005-12-06,1390.0
2005-12-07,1390.0
2005-12-08,1350.0
