date,IMO
2021-05-28,96.0
2021-05-31,96.0
2021-06-01,97.0
2021-06-02,96.0
2021-06-03,95.52
2021-06-04,96.0
2021-06-07,96.0
2021-06-08,95.99
2021-06-09,95.5
2021-06-10,95.5
2021-06-11,95.5
2021-06-14,95.07
2021-06-15,94.99
2021-06-16,94.18
2021-06-17,95.9
2021-06-18,94.2
2021-06-21,94.5
2021-06-22,94.51
2021-06-23,95.5
2021-06-24,97.0
2021-06-25,97.0
2021-06-28,97.0
2021-06-29,97.0
2021-06-30,97.75
2021-07-01,97.05
2021-07-02,97.05
2021-07-05,97.05
2021-07-06,97.0
2021-07-07,96.2
2021-07-08,96.25
2021-07-09,96.9
2021-07-12,96.2
2021-07-13,96.2
2021-07-14,96.9
2021-07-15,98.5
2021-07-16,98.0
2021-07-19,97.9
2021-07-20,96.54
2021-07-23,96.54
2021-07-26,98.0
2021-07-27,97.99
2021-07-28,98.87
2021-07-29,98.88
2021-08-02,97.0
2021-08-03,96.9
2021-08-04,97.9
2021-08-05,98.0
2021-08-06,98.8
2021-08-09,98.8
2021-08-11,98.6
2021-08-12,98.6
2021-08-13,98.25
2021-08-16,98.25
2021-08-17,96.5
2021-08-18,97.0
2021-08-19,97.0
2021-08-23,97.3
2021-08-24,97.35
2021-08-25,97.3
2021-08-26,98.7
2021-08-27,97.0
2021-08-30,98.75
2021-08-31,98.75
2021-09-01,98.69
2021-09-02,98.0
2021-09-03,98.0
2021-09-06,98.0
2021-09-07,98.0
2021-09-08,98.0
2021-09-09,98.39
2021-09-10,98.0
2021-09-13,97.05
2021-09-14,97.05
2021-09-15,98.39
2021-09-16,96.61
2021-09-17,98.0
2021-09-20,98.0
2021-09-21,98.0
2021-09-22,98.0
2021-09-23,96.1
2021-09-24,98.0
2021-09-27,96.61
2021-09-28,96.64
2021-09-29,98.0
2021-09-30,96.5
2021-10-01,96.52
2021-10-04,96.52
2021-10-05,98.05
2021-10-06,97.21
2021-10-07,96.5
2021-10-08,96.61
